CR_265_Contig_2	1938820	Serratia sp. JKS000199	Serratia sp. JKS000199	98.804	0.0
CR_265_Contig_3	615	Serratia marcescens	Serratia marcescens	99.040	0.0
CR_266_Contig_0	623	Shigella flexneri	Shigella flexneri	99.999	0.0
CR_266_Contig_1	623	Shigella flexneri	Shigella flexneri	99.999	0.0
CR_267_Contig_0	186538	Zaire ebolavirus	Zaire ebolavirus	100.000	0.0
CR_268_Contig_0	1335	Streptococcus equinus	Streptococcus equinus	99.992	0.0
CR_268_Contig_1	1335	Streptococcus equinus	Streptococcus equinus	99.994	0.0
CR_269_Contig_0	56460	Xanthomonas vesicatoria	Xanthomonas vesicatoria	97.783	0.0
CR_269_Contig_1	85698	Achromobacter xylosoxidans	Achromobacter xylosoxidans	98.829	0.0
CR_269_Contig_2	85698	Achromobacter xylosoxidans	Achromobacter xylosoxidans	98.830	0.0
CR_269_Contig_3	85698	Achromobacter xylosoxidans	Achromobacter xylosoxidans	98.928	0.0
CR_269_Contig_4	85698	Achromobacter xylosoxidans	Achromobacter xylosoxidans	98.801	0.0
CR_269_Contig_5	85698	Achromobacter xylosoxidans	Achromobacter xylosoxidans	98.263	0.0
CR_269_Contig_6	85698	Achromobacter xylosoxidans	Achromobacter xylosoxidans	99.452	0.0
CR_269_Contig_7	85698	Achromobacter xylosoxidans	Achromobacter xylosoxidans	98.568	0.0
CR_26_Contig_0	1038927	Escherichia coli O104:H4	Escherichia coli O104:H4	99.962	0.0
CR_26_Contig_1	1038927	Escherichia coli O104:H4	Escherichia coli O104:H4	100.000	0.0
CR_26_Contig_2	1048254	Escherichia coli O104:H4 str. C227-11	Escherichia coli O104:H4 str. C227-11	99.972	0.0
CR_26_Contig_3	1038927	Escherichia coli O104:H4	Escherichia coli O104:H4	99.937	0.0
CR_26_Contig_4	1038927	Escherichia coli O104:H4	Escherichia coli O104:H4	99.995	0.0
CR_270_Contig_0	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	98.792	0.0
CR_270_Contig_1	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	99.360	0.0
CR_270_Contig_2	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	99.028	0.0
CR_271_Contig_0	29484	Yersinia frederiksenii	Yersinia frederiksenii	99.982	0.0
CR_272_Contig_0	1314	Streptococcus pyogenes	Streptococcus pyogenes	99.987	0.0
CR_273_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.967	0.0
CR_273_Contig_1	46170	Staphylococcus aureus subsp. aureus	Staphylococcus aureus subsp. aureus	99.425	0.0
CR_273_Contig_2	1280	Staphylococcus aureus	Staphylococcus aureus	99.670	0.0
CR_274_Contig_0	2019568	Citrobacter sp. 92	Citrobacter sp. 92	98.885	0.0
CR_275_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.999	0.0
CR_276_Contig_0	119857	Francisella tularensis subsp. holarctica	Francisella tularensis subsp. holarctica	99.973	0.0
CR_277_Contig_0	562	Escherichia coli	Escherichia coli	99.833	0.0
CR_277_Contig_1	562	Escherichia coli	Escherichia coli	99.930	0.0
CR_277_Contig_2	562	Escherichia coli	Escherichia coli	99.913	0.0
CR_277_Contig_3	562	Escherichia coli	Escherichia coli	99.964	0.0
CR_277_Contig_4	562	Escherichia coli	Escherichia coli	99.938	0.0
CR_277_Contig_5	562	Escherichia coli	Escherichia coli	99.937	0.0
CR_277_Contig_6	562	Escherichia coli	Escherichia coli	99.988	0.0
CR_278_Contig_0	59201	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica	99.986	0.0
CR_278_Contig_1	990282	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	99.967	0.0
CR_278_Contig_2	59201	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica	99.965	0.0
CR_278_Contig_3	59201	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica	99.874	0.0
CR_279_Contig_0	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.981	0.0
CR_279_Contig_1	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.895	0.0
CR_279_Contig_2	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.984	0.0
CR_27_Contig_0	676	Vibrio fluvialis	Vibrio fluvialis	100.000	0.0
CR_27_Contig_1	676	Vibrio fluvialis	Vibrio fluvialis	100.000	0.0
CR_280_Contig_0	614	Serratia liquefaciens	Serratia liquefaciens	99.997	0.0
CR_281_Contig_0	1747	Cutibacterium acnes	Cutibacterium acnes	99.979	0.0
CR_282_Contig_0	1311	Streptococcus agalactiae	Streptococcus agalactiae	99.766	0.0
CR_282_Contig_1	1311	Streptococcus agalactiae	Streptococcus agalactiae	99.361	0.0
CR_282_Contig_2	1326	Streptococcus acidominimus	Streptococcus acidominimus	90.146	0.0
CR_282_Contig_3	1326	Streptococcus acidominimus	Streptococcus acidominimus	90.146	0.0
CR_282_Contig_4	1311	Streptococcus agalactiae	Streptococcus agalactiae	99.138	0.0
CR_282_Contig_5	208435	Streptococcus agalactiae 2603V/R	Streptococcus agalactiae 2603V/R	98.262	0.0
CR_282_Contig_6	1311	Streptococcus agalactiae	Streptococcus agalactiae	99.033	0.0
CR_282_Contig_7	1307	Streptococcus suis	Streptococcus suis	82.694	0.0
CR_282_Contig_8	1311	Streptococcus agalactiae	Streptococcus agalactiae	95.035	0.0
CR_282_Contig_9	1311	Streptococcus agalactiae	Streptococcus agalactiae	98.904	0.0
CR_282_Contig_10	1311	Streptococcus agalactiae	Streptococcus agalactiae	95.148	0.0
CR_283_Contig_0	90371	Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica subsp. enterica serovar Typhimurium	99.983	0.0
CR_283_Contig_1	909946	Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74	Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74	99.977	0.0
CR_283_Contig_2	59201	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica	99.711	0.0
CR_283_Contig_3	90371	Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica subsp. enterica serovar Typhimurium	99.980	0.0
CR_283_Contig_4	28901	Salmonella enterica	Salmonella enterica	99.484	0.0
CR_284_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.977	0.0
CR_284_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	99.997	0.0
CR_284_Contig_2	158878	Staphylococcus aureus subsp. aureus Mu50	Staphylococcus aureus subsp. aureus Mu50	99.472	0.0
CR_285_Contig_0	562	Escherichia coli	Escherichia coli	99.556	0.0
CR_285_Contig_1	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.968	0.0
CR_285_Contig_2	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.431	0.0
CR_286_Contig_0	61646	Lelliottia amnigena	Lelliottia amnigena	99.994	0.0
CR_287_Contig_0	332097	Rio Negro virus	Rio Negro virus	99.938	0.0
CR_288_Contig_0	509173	Acinetobacter baumannii AYE	Acinetobacter baumannii AYE	99.959	0.0
CR_288_Contig_1	106654	Acinetobacter nosocomialis	Acinetobacter nosocomialis	98.031	0.0
CR_288_Contig_2	106654	Acinetobacter nosocomialis	Acinetobacter nosocomialis	99.612	0.0
CR_288_Contig_3	470	Acinetobacter baumannii	Acinetobacter baumannii	95.558	0.0
CR_288_Contig_4	106654	Acinetobacter nosocomialis	Acinetobacter nosocomialis	99.952	0.0
CR_288_Contig_5	48296	Acinetobacter pittii	Acinetobacter pittii	99.911	0.0
CR_288_Contig_6	48296	Acinetobacter pittii	Acinetobacter pittii	94.058	0.0
CR_288_Contig_7	1809055	Acinetobacter sp. DUT-2	Acinetobacter sp. DUT-2	99.426	0.0
CR_289_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.934	0.0
CR_289_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	99.964	0.0
CR_289_Contig_2	1280	Staphylococcus aureus	Staphylococcus aureus	99.743	0.0
CR_289_Contig_3	1280	Staphylococcus aureus	Staphylococcus aureus	99.961	0.0
CR_28_Contig_0	47917	Serratia fonticola	Serratia fonticola	99.983	0.0
CR_290_Contig_0	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	100.000	0.0
CR_290_Contig_1	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	99.996	0.0
CR_290_Contig_2	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	100.000	0.0
CR_290_Contig_3	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	100.000	0.0
CR_290_Contig_4	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	100.000	0.0
CR_291_Contig_0	565655	Enterococcus casseliflavus EC20	Enterococcus casseliflavus EC20	96.646	0.0
CR_291_Contig_1	1352	Enterococcus faecium	Enterococcus faecium	97.859	0.0
CR_291_Contig_2	1352	Enterococcus faecium	Enterococcus faecium	98.121	0.0
CR_292_Contig_0	299766	Enterobacter hormaechei subsp. steigerwaltii	Enterobacter hormaechei subsp. steigerwaltii	90.137	0.0
CR_292_Contig_1	69218	Enterobacter cancerogenus	Enterobacter cancerogenus	90.175	0.0
CR_292_Contig_2	1453496	Hafnia alvei FB1	Hafnia alvei FB1	81.440	0.0
CR_292_Contig_3	1453496	Hafnia alvei FB1	Hafnia alvei FB1	82.683	0.0
CR_292_Contig_4	550	Enterobacter cloacae	Enterobacter cloacae	89.945	0.0
CR_292_Contig_5	69218	Enterobacter cancerogenus	Enterobacter cancerogenus	99.114	0.0
CR_293_Contig_0	633	Yersinia pseudotuberculosis	Yersinia pseudotuberculosis	99.636	0.0
CR_293_Contig_1	748672	Yersinia pseudotuberculosis str. PA3606	Yersinia pseudotuberculosis str. PA3606	98.689	0.0
CR_293_Contig_2	1345702	Yersinia pestis 2944	Yersinia pestis 2944	98.482	0.0
CR_294_Contig_0	93062	Staphylococcus aureus subsp. aureus COL	Staphylococcus aureus subsp. aureus COL	99.991	0.0
CR_294_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	99.993	0.0
CR_294_Contig_2	46170	Staphylococcus aureus subsp. aureus	Staphylococcus aureus subsp. aureus	99.989	0.0
CR_294_Contig_3	46170	Staphylococcus aureus subsp. aureus	Staphylococcus aureus subsp. aureus	99.997	0.0
CR_295_Contig_0	208224	Enterobacter kobei	Enterobacter kobei	99.609	0.0
CR_295_Contig_1	571	Klebsiella oxytoca	Klebsiella oxytoca	99.785	0.0
CR_295_Contig_2	1006551	Klebsiella michiganensis KCTC 1686	Klebsiella michiganensis KCTC 1686	99.944	0.0
CR_295_Contig_3	571	Klebsiella oxytoca	Klebsiella oxytoca	99.637	0.0
CR_295_Contig_4	574	Klebsiella pneumoniae subsp. ozaenae	Klebsiella pneumoniae subsp. ozaenae	99.828	0.0
CR_296_Contig_0	28901	Salmonella enterica	Salmonella enterica	100.000	0.0
CR_296_Contig_1	28901	Salmonella enterica	Salmonella enterica	99.976	0.0
CR_297_Contig_0	299766	Enterobacter hormaechei subsp. steigerwaltii	Enterobacter hormaechei subsp. steigerwaltii	99.206	0.0
CR_298_Contig_0	11036	Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	99.414	0.0
CR_299_Contig_0	548	Klebsiella aerogenes	Klebsiella aerogenes	100.000	0.0
CR_29_Contig_0	253	Chryseobacterium indologenes	Chryseobacterium indologenes	99.998	0.0
CR_2_Contig_0	272831	Neisseria meningitidis FAM18	Neisseria meningitidis FAM18	99.997	0.0
CR_300_Contig_0	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.996	0.0
CR_300_Contig_1	573	Klebsiella pneumoniae	Klebsiella pneumoniae	100.000	0.0
CR_300_Contig_2	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.995	0.0
CR_300_Contig_3	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.995	0.0
CR_300_Contig_4	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.956	0.0
CR_301_Contig_0	637386	Yersinia pestis Z176003	Yersinia pestis Z176003	99.754	0.0
CR_301_Contig_1	633	Yersinia pseudotuberculosis	Yersinia pseudotuberculosis	99.647	0.0
CR_302_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.418	0.0
CR_302_Contig_1	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	99.942	0.0
CR_302_Contig_2	889933	Staphylococcus aureus subsp. aureus ECT-R 2	Staphylococcus aureus subsp. aureus ECT-R 2	99.994	0.0
CR_302_Contig_3	1280	Staphylococcus aureus	Staphylococcus aureus	99.964	0.0
CR_303_Contig_0	263	Francisella tularensis	Francisella tularensis	99.990	0.0
CR_303_Contig_1	263	Francisella tularensis	Francisella tularensis	99.991	0.0
CR_304_Contig_0	1496	Clostridioides difficile	Clostridioides difficile	99.713	0.0
CR_304_Contig_1	272563	Clostridioides difficile 630	Clostridioides difficile 630	99.982	0.0
CR_305_Contig_0	502801	Yersinia pseudotuberculosis PB1/+	Yersinia pseudotuberculosis PB1/+	99.982	0.0
CR_305_Contig_1	502801	Yersinia pseudotuberculosis PB1/+	Yersinia pseudotuberculosis PB1/+	99.956	0.0
CR_306_Contig_0	1045010	Escherichia coli O157	Escherichia coli O157	99.995	0.0
CR_306_Contig_1	1045010	Escherichia coli O157	Escherichia coli O157	99.925	0.0
CR_306_Contig_2	1045010	Escherichia coli O157	Escherichia coli O157	99.997	0.0
CR_307_Contig_0	1241616	Staphylococcus aureus subsp. aureus DSM 20231	Staphylococcus aureus subsp. aureus DSM 20231	99.610	0.0
CR_307_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	99.998	0.0
CR_307_Contig_2	1280	Staphylococcus aureus	Staphylococcus aureus	99.997	0.0
CR_308_Contig_0	672	Vibrio vulnificus	Vibrio vulnificus	98.786	0.0
CR_308_Contig_1	672	Vibrio vulnificus	Vibrio vulnificus	98.227	0.0
CR_308_Contig_2	672	Vibrio vulnificus	Vibrio vulnificus	93.000	0.0
CR_308_Contig_3	1219061	Vibrio vulnificus NBRC 15645 = ATCC 27562	Vibrio vulnificus NBRC 15645 = ATCC 27562	99.504	0.0
CR_309_Contig_0	546	Citrobacter freundii	Citrobacter freundii	99.999	0.0
CR_309_Contig_1	546	Citrobacter freundii	Citrobacter freundii	99.997	0.0
CR_309_Contig_2	546	Citrobacter freundii	Citrobacter freundii	99.998	0.0
CR_30_Contig_0	1304	Streptococcus salivarius	Streptococcus salivarius	89.047	0.0
CR_30_Contig_1	198620	Pseudomonas koreensis	Pseudomonas koreensis	96.216	0.0
CR_30_Contig_2	1903686	Jeotgalibaca sp. PTS2502	Jeotgalibaca sp. PTS2502	82.844	8.99e-101
CR_310_Contig_0	320388	Burkholderia mallei SAVP1	Burkholderia mallei SAVP1	99.995	0.0
CR_310_Contig_1	320388	Burkholderia mallei SAVP1	Burkholderia mallei SAVP1	99.997	0.0
CR_311_Contig_0	186540	Sudan ebolavirus	Sudan ebolavirus	100.000	0.0
CR_312_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_313_Contig_0	1194526	Staphylococcus warneri SG1	Staphylococcus warneri SG1	99.629	0.0
CR_313_Contig_1	2100421	uncultured Caudovirales phage	uncultured Caudovirales phage	98.785	0.0
CR_313_Contig_2	1280	Staphylococcus aureus	Staphylococcus aureus	99.930	0.0
CR_313_Contig_3	1194526	Staphylococcus warneri SG1	Staphylococcus warneri SG1	99.938	0.0
CR_313_Contig_4	2100421	uncultured Caudovirales phage	uncultured Caudovirales phage	99.850	0.0
CR_313_Contig_5	1194526	Staphylococcus warneri SG1	Staphylococcus warneri SG1	99.942	0.0
CR_314_Contig_0	485	Neisseria gonorrhoeae	Neisseria gonorrhoeae	99.997	0.0
CR_314_Contig_1	485	Neisseria gonorrhoeae	Neisseria gonorrhoeae	99.998	0.0
CR_314_Contig_2	485	Neisseria gonorrhoeae	Neisseria gonorrhoeae	100.000	0.0
CR_315_Contig_0	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	99.996	0.0
CR_315_Contig_1	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	99.995	0.0
CR_316_Contig_0	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	98.522	0.0
CR_316_Contig_1	1338034	Vibrio parahaemolyticus O1:Kuk str. FDA_R31	Vibrio parahaemolyticus O1:Kuk str. FDA_R31	98.956	0.0
CR_316_Contig_2	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	98.802	0.0
CR_316_Contig_3	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	98.365	0.0
CR_317_Contig_0	1351	Enterococcus faecalis	Enterococcus faecalis	99.937	0.0
CR_317_Contig_1	1351	Enterococcus faecalis	Enterococcus faecalis	99.891	0.0
CR_318_Contig_0	1839799	Streptococcus sp. FDAARGOS_192	Streptococcus sp. FDAARGOS_192	99.995	0.0
CR_318_Contig_1	1839799	Streptococcus sp. FDAARGOS_192	Streptococcus sp. FDAARGOS_192	99.999	0.0
CR_318_Contig_2	1839799	Streptococcus sp. FDAARGOS_192	Streptococcus sp. FDAARGOS_192	100.000	0.0
CR_319_Contig_0	37326	Nocardia brasiliensis	Nocardia brasiliensis	99.990	0.0
CR_31_Contig_0	58100	Salmonella enterica subsp. houtenae serovar Houten	Salmonella enterica subsp. houtenae serovar Houten	98.350	0.0
CR_31_Contig_1	562	Escherichia coli	Escherichia coli	99.166	0.0
CR_31_Contig_2	28901	Salmonella enterica	Salmonella enterica	99.488	0.0
CR_31_Contig_3	28901	Salmonella enterica	Salmonella enterica	99.707	0.0
CR_31_Contig_4	58100	Salmonella enterica subsp. houtenae serovar Houten	Salmonella enterica subsp. houtenae serovar Houten	99.515	0.0
CR_31_Contig_5	28901	Salmonella enterica	Salmonella enterica	99.603	0.0
CR_31_Contig_6	28901	Salmonella enterica	Salmonella enterica	99.213	0.0
CR_320_Contig_0	72000	Kocuria rhizophila	Kocuria rhizophila	99.997	0.0
CR_321_Contig_0	1117645	Elizabethkingia anophelis	Elizabethkingia anophelis	99.998	0.0
CR_322_Contig_0	1302	Streptococcus gordonii	Streptococcus gordonii	100.000	0.0
CR_323_Contig_0	730	[Haemophilus] ducreyi	[Haemophilus] ducreyi	100.000	0.0
CR_324_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.998	0.0
CR_324_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	99.978	0.0
CR_324_Contig_2	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_324_Contig_3	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_324_Contig_4	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_324_Contig_5	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_324_Contig_6	1280	Staphylococcus aureus	Staphylococcus aureus	96.514	0.0
CR_325_Contig_0	674	Vibrio mimicus	Vibrio mimicus	97.541	0.0
CR_325_Contig_1	674	Vibrio mimicus	Vibrio mimicus	97.889	0.0
CR_326_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_326_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	98.054	0.0
CR_326_Contig_2	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_326_Contig_3	1280	Staphylococcus aureus	Staphylococcus aureus	99.954	0.0
CR_326_Contig_4	1280	Staphylococcus aureus	Staphylococcus aureus	99.906	0.0
CR_327_Contig_0	487	Neisseria meningitidis	Neisseria meningitidis	100.000	0.0
CR_328_Contig_0	487	Neisseria meningitidis	Neisseria meningitidis	99.999	0.0
CR_329_Contig_0	520	Bordetella pertussis	Bordetella pertussis	99.973	0.0
CR_32_Contig_0	35703	Citrobacter amalonaticus	Citrobacter amalonaticus	99.998	0.0
CR_330_Contig_0	331271	Burkholderia cenocepacia AU 1054	Burkholderia cenocepacia AU 1054	99.954	0.0
CR_330_Contig_1	331272	Burkholderia cenocepacia HI2424	Burkholderia cenocepacia HI2424	99.949	0.0
CR_330_Contig_2	331271	Burkholderia cenocepacia AU 1054	Burkholderia cenocepacia AU 1054	99.963	0.0
CR_330_Contig_3	331271	Burkholderia cenocepacia AU 1054	Burkholderia cenocepacia AU 1054	99.949	0.0
CR_330_Contig_4	331272	Burkholderia cenocepacia HI2424	Burkholderia cenocepacia HI2424	99.802	0.0
CR_330_Contig_5	331272	Burkholderia cenocepacia HI2424	Burkholderia cenocepacia HI2424	100.000	0.0
CR_330_Contig_6	331271	Burkholderia cenocepacia AU 1054	Burkholderia cenocepacia AU 1054	99.942	0.0
CR_330_Contig_7	331272	Burkholderia cenocepacia HI2424	Burkholderia cenocepacia HI2424	99.961	0.0
CR_330_Contig_8	331271	Burkholderia cenocepacia AU 1054	Burkholderia cenocepacia AU 1054	99.942	0.0
CR_330_Contig_9	331271	Burkholderia cenocepacia AU 1054	Burkholderia cenocepacia AU 1054	99.951	0.0
CR_330_Contig_10	331271	Burkholderia cenocepacia AU 1054	Burkholderia cenocepacia AU 1054	99.615	0.0
CR_330_Contig_11	331272	Burkholderia cenocepacia HI2424	Burkholderia cenocepacia HI2424	99.941	0.0
CR_330_Contig_12	331272	Burkholderia cenocepacia HI2424	Burkholderia cenocepacia HI2424	99.515	0.0
CR_330_Contig_13	331272	Burkholderia cenocepacia HI2424	Burkholderia cenocepacia HI2424	99.750	0.0
CR_330_Contig_14	331272	Burkholderia cenocepacia HI2424	Burkholderia cenocepacia HI2424	99.188	0.0
CR_330_Contig_15	95486	Burkholderia cenocepacia	Burkholderia cenocepacia	97.899	0.0
CR_331_Contig_0	139	Borreliella burgdorferi	Lyme disease spirochete	99.951	0.0
CR_331_Contig_1	139	Borreliella burgdorferi	Lyme disease spirochete	99.900	0.0
CR_331_Contig_2	139	Borreliella burgdorferi	Lyme disease spirochete	99.976	0.0
CR_331_Contig_3	139	Borreliella burgdorferi	Lyme disease spirochete	99.982	0.0
CR_331_Contig_4	139	Borreliella burgdorferi	Lyme disease spirochete	99.898	0.0
CR_331_Contig_5	139	Borreliella burgdorferi	Lyme disease spirochete	99.985	0.0
CR_331_Contig_6	139	Borreliella burgdorferi	Lyme disease spirochete	99.930	0.0
CR_331_Contig_7	139	Borreliella burgdorferi	Lyme disease spirochete	99.970	0.0
CR_331_Contig_8	139	Borreliella burgdorferi	Lyme disease spirochete	99.805	0.0
CR_331_Contig_9	139	Borreliella burgdorferi	Lyme disease spirochete	99.795	0.0
CR_331_Contig_10	139	Borreliella burgdorferi	Lyme disease spirochete	99.979	0.0
CR_331_Contig_11	139	Borreliella burgdorferi	Lyme disease spirochete	99.962	0.0
CR_332_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.952	0.0
CR_332_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	98.046	0.0
CR_332_Contig_2	1280	Staphylococcus aureus	Staphylococcus aureus	98.665	0.0
CR_332_Contig_3	1280	Staphylococcus aureus	Staphylococcus aureus	98.918	0.0
CR_332_Contig_4	1280	Staphylococcus aureus	Staphylococcus aureus	99.829	0.0
CR_332_Contig_5	1280	Staphylococcus aureus	Staphylococcus aureus	99.010	0.0
CR_332_Contig_6	1280	Staphylococcus aureus	Staphylococcus aureus	99.587	0.0
CR_332_Contig_7	1280	Staphylococcus aureus	Staphylococcus aureus	99.818	0.0
CR_332_Contig_8	93062	Staphylococcus aureus subsp. aureus COL	Staphylococcus aureus subsp. aureus COL	97.805	0.0
CR_333_Contig_0	301102	Enterobacter hormaechei subsp. oharae	Enterobacter hormaechei subsp. oharae	98.245	0.0
CR_333_Contig_1	571	Klebsiella oxytoca	Klebsiella oxytoca	98.064	0.0
CR_333_Contig_2	562	Escherichia coli	Escherichia coli	91.303	0.0
CR_333_Contig_3	571	Klebsiella oxytoca	Klebsiella oxytoca	99.261	0.0
CR_333_Contig_4	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.810	0.0
CR_333_Contig_5	562	Escherichia coli	Escherichia coli	91.251	0.0
CR_333_Contig_6	562	Escherichia coli	Escherichia coli	99.263	0.0
CR_333_Contig_7	573	Klebsiella pneumoniae	Klebsiella pneumoniae	96.908	0.0
CR_333_Contig_8	1420013	Klebsiella pneumoniae 30684/NJST258_2	Klebsiella pneumoniae 30684/NJST258_2	99.946	0.0
CR_333_Contig_9	550	Enterobacter cloacae	Enterobacter cloacae	99.862	0.0
CR_334_Contig_0	28035	Staphylococcus lugdunensis	Staphylococcus lugdunensis	99.859	0.0
CR_334_Contig_1	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	99.287	0.0
CR_334_Contig_2	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	99.674	0.0
CR_335_Contig_0	87883	Burkholderia multivorans	Burkholderia multivorans	100.000	0.0
CR_335_Contig_1	87883	Burkholderia multivorans	Burkholderia multivorans	100.000	0.0
CR_335_Contig_2	87883	Burkholderia multivorans	Burkholderia multivorans	99.999	0.0
CR_336_Contig_0	548	Klebsiella aerogenes	Klebsiella aerogenes	100.000	0.0
CR_336_Contig_1	548	Klebsiella aerogenes	Klebsiella aerogenes	100.000	0.0
CR_337_Contig_0	50719	Vibrio diabolicus	Vibrio diabolicus	99.999	0.0
CR_337_Contig_1	50719	Vibrio diabolicus	Vibrio diabolicus	100.000	0.0
CR_338_Contig_0	134047	Salmonella enterica subsp. enterica serovar Bredeney	Salmonella enterica subsp. enterica serovar Bredeney	99.984	0.0
CR_338_Contig_1	90370	Salmonella enterica subsp. enterica serovar Typhi	Salmonella enterica subsp. enterica serovar Typhi	98.093	0.0
CR_338_Contig_2	1147140	Salmonella phage SPN3UB	Salmonella phage SPN3UB	97.749	0.0
CR_338_Contig_3	439843	Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633	Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633	98.789	0.0
CR_338_Contig_4	134047	Salmonella enterica subsp. enterica serovar Bredeney	Salmonella enterica subsp. enterica serovar Bredeney	99.475	0.0
CR_339_Contig_0	669	Vibrio harveyi	Vibrio harveyi	99.140	0.0
CR_339_Contig_1	669	Vibrio harveyi	Vibrio harveyi	98.970	0.0
CR_33_Contig_0	290338	Citrobacter koseri ATCC BAA-895	Citrobacter koseri ATCC BAA-895	99.112	0.0
CR_340_Contig_0	41276	Brevundimonas vesicularis	Brevundimonas vesicularis	99.998	0.0
CR_341_Contig_0	345073	Vibrio cholerae O395	Vibrio cholerae O395	99.998	0.0
CR_341_Contig_1	345073	Vibrio cholerae O395	Vibrio cholerae O395	99.711	0.0
CR_341_Contig_2	345073	Vibrio cholerae O395	Vibrio cholerae O395	99.897	0.0
CR_341_Contig_3	345073	Vibrio cholerae O395	Vibrio cholerae O395	99.997	0.0
CR_341_Contig_4	345073	Vibrio cholerae O395	Vibrio cholerae O395	99.336	0.0
CR_341_Contig_5	345073	Vibrio cholerae O395	Vibrio cholerae O395	99.998	0.0
CR_341_Contig_6	345073	Vibrio cholerae O395	Vibrio cholerae O395	98.859	0.0
CR_342_Contig_0	1296	Staphylococcus sciuri	Staphylococcus sciuri	99.996	0.0
CR_342_Contig_1	1296	Staphylococcus sciuri	Staphylococcus sciuri	100.000	0.0
CR_343_Contig_0	562	Escherichia coli	Escherichia coli	99.819	0.0
CR_343_Contig_1	562	Escherichia coli	Escherichia coli	99.734	0.0
CR_343_Contig_2	562	Escherichia coli	Escherichia coli	99.991	0.0
CR_343_Contig_3	562	Escherichia coli	Escherichia coli	99.691	0.0
CR_343_Contig_4	562	Escherichia coli	Escherichia coli	99.989	0.0
CR_343_Contig_5	562	Escherichia coli	Escherichia coli	99.396	0.0
CR_343_Contig_6	562	Escherichia coli	Escherichia coli	99.465	0.0
CR_343_Contig_7	562	Escherichia coli	Escherichia coli	99.991	0.0
